Nodo	Comunidad
0	16
1	16
2	16
3	30
4	30
5	2
6	30
7	30
8	16
9	16
10	30
11	30
12	30
13	30
14	16
15	30
16	30
17	16
18	16
19	16
20	16
21	30
22	16
23	16
24	16
25	16
26	16
27	30
28	16
29	16
30	16
31	16
32	16
33	16
34	16
35	16
36	16
37	16
38	16
39	30
40	16
41	16
42	16
43	16
44	16
45	30
46	30
47	16
48	16
49	30
50	30
51	16
52	16
53	30
54	30
55	30
56	30
57	16
58	16
59	21
60	16
61	16
62	16
63	16
64	16
65	16
66	16
67	16
68	16
69	16
70	4
878	30
8552	30
74	30
910	30
75	30
86	30
93	30
106	30
136	5
140	6
144	6
145	6
151	75
188	6
195	5
212	16
213	2
301	30
416	6
443	2
478	5
566	8
588	112
647	2
734	5
823	10
851	11
919	30
1330	6
1359	112
1365	30
1371	30
1672	5
1725	2
1768	6
1793	30
1824	2
2718	10
2737	75
2753	2
3027	6
3237	5
3311	2
3334	6
3844	12
4153	13
4398	30
4746	2
5030	14
5033	16
5036	15
5048	2
5050	16
5061	6
6917	2
9132	16
9136	16
9498	16
9499	16
9500	16
9501	16
9502	5
9503	16
9504	18
308	5
10606	30
88	30
118	11
949	6
7775	11
81	30
82	30
184	16
273	5
316	16
390	16
1053	30
1139	4
2348	16
2630	19
5020	3
5024	16
5069	16
5587	16
8032	2
8556	21
8565	16
8566	16
9129	16
9130	16
9131	16
9133	16
9134	16
9135	16
78	30
115	30
128	30
362	30
959	30
960	30
961	30
962	30
102	30
112	30
133	6
1806	21
887	30
5023	16
189	30
204	30
72	6
76	6
83	30
95	14
107	30
109	30
232	5
353	5
402	30
409	30
458	14
652	6
802	6
873	30
929	30
939	30
1028	5
1161	12
1287	30
1304	6
1334	6
1507	23
1528	5
1552	6
1819	14
1821	30
1927	30
1935	5
2111	6
2253	2
2720	6
2939	6
2947	2
4755	2
5041	30
5045	10
5046	30
6826	30
6827	6
6828	15
6829	24
6830	30
6831	16
9137	16
342	30
1588	25
1970	16
5025	16
5026	16
5027	16
8558	16
8559	21
8560	21
8561	2
9861	16
91	30
114	30
920	30
8557	3
80	82
89	30
90	30
277	30
286	30
370	5
543	10
659	6
875	30
879	30
880	30
918	30
922	30
950	30
966	30
1000	174
1560	30
1649	5
1700	30
1723	6
1759	6
1817	30
2715	6
2728	6
2773	6
4152	6
5031	12
5032	12
5034	75
5035	30
5037	10
5038	8
5039	30
5040	30
5042	174
5043	75
5044	30
5047	2
5049	16
5051	112
5052	30
5053	6
5054	30
5055	6
5056	30
5057	30
5058	30
5059	30
5060	30
5062	15
5063	30
5064	16
5065	21
5066	2
5067	11
8264	11
79	30
85	30
87	30
101	30
108	30
113	30
119	30
121	30
127	2
138	30
143	30
154	30
155	30
164	30
165	30
169	14
186	6
193	30
239	30
245	30
280	6
281	6
290	30
378	30
382	5
415	30
420	5
645	6
662	30
824	5
864	30
870	30
882	30
936	30
1068	5
1354	5
1355	5
1486	30
1606	2
1668	30
1713	14
1797	30
1814	30
1849	5
1889	30
1891	30
1893	30
1947	30
1953	30
1964	30
1971	30
1976	30
1987	30
1993	30
2015	30
2039	5
2092	10
2093	30
2094	12
2095	30
2096	6
2097	30
2098	30
2099	174
2100	30
2101	30
2102	30
2103	30
2104	30
2105	30
2106	30
2107	30
2108	30
2109	30
2110	30
2112	16
2113	30
2114	30
2115	30
2116	30
2117	5
2118	2
73	30
77	14
84	30
92	30
94	30
96	30
97	30
98	16
99	30
100	30
103	30
104	16
105	30
110	30
111	6
116	30
117	16
120	30
122	30
123	6
124	30
125	30
126	6
129	30
130	30
131	30
132	11
134	5
135	6
137	5
139	30
141	30
142	16
146	6
147	30
148	30
149	30
150	30
152	30
153	82
156	30
157	5
158	30
159	30
160	30
161	30
162	30
163	16
166	6
167	30
168	30
170	30
172	30
904	30
2047	30
7949	30
10236	30
10238	30
10239	30
12130	30
13954	30
174	6
175	6
180	6
185	30
192	6
194	30
200	82
205	5
206	5
215	6
224	11
228	6
240	30
269	30
271	30
287	30
288	30
293	6
295	6
305	30
326	30
333	30
339	30
344	6
360	30
363	30
377	30
385	30
388	5
423	5
441	30
448	5
449	30
455	6
461	6
462	5
465	30
468	6
481	30
528	11
614	6
686	82
762	30
789	30
866	30
871	30
881	30
898	14
899	30
900	14
901	30
925	6
928	30
937	6
938	30
948	5
951	14
1023	30
1024	30
1077	5
1117	30
1180	30
1202	30
1259	16
1298	6
1340	6
1341	5
1377	30
1392	6
1393	30
1459	14
1466	6
1471	30
1535	6
1538	6
1555	6
1566	30
1710	5
1767	6
1784	30
1801	30
1842	5
1888	30
1894	30
1897	30
1903	30
1908	30
1910	30
1916	30
1925	30
1936	30
1940	30
1941	30
1942	30
1943	10
1944	2
1945	30
1946	30
1948	16
1949	30
1950	6
1951	30
1952	5
1954	30
1955	30
1956	30
1957	30
1958	30
1959	16
1960	30
1961	30
1962	30
1963	30
1965	16
1966	5
1967	30
1968	30
1969	30
1972	30
1973	30
1974	30
1975	30
1977	30
1978	30
1979	30
1980	30
1981	30
1982	14
1983	5
1984	30
1985	30
1986	30
1988	30
1989	30
1990	2
1991	11
1992	31
1994	30
1995	14
1996	5
1997	30
1998	11
1999	30
2000	30
2001	11
2002	30
2003	30
2004	30
2005	30
2006	30
2007	30
2008	11
2009	6
2010	30
2011	5
2012	30
2013	14
2014	30
2016	30
2017	30
2018	6
2019	30
2020	30
2021	30
2022	14
2023	30
2024	30
